Transaction_ID,Transaction_Amount,Average_Spend,Previous_Transactions,Account_Age_Days,amount_to_average_ratio,transaction_hour,transaction_day_of_week,transaction_month,transaction_year,hour_sin,hour_cos,dow_sin,dow_cos,Is_International,Merchant_Category,Payment_Method,Device_Type,Location
T100000,37.54,417.4,94,1492,0.08993770963104936,7,2,10,2023,0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434,0,Travel,PayPal,POS,Bengaluru
T100001,240.81,335.47,76,66,0.7178287179181446,8,1,9,2023,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336,0,Utilities,PayPal,Mobile,Bengaluru
T100002,105.34,432.03,60,216,0.2438256602550749,15,1,7,2023,-0.7071067811865471,-0.7071067811865479,0.7818314824680298,0.6234898018587336,0,Entertainment,Debit Card,Mobile,Bengaluru
T100003,73.04,488.3,68,449,0.14958017612123695,17,0,10,2023,-0.9659258262890683,-0.25881904510252063,0.0,1.0,0,Utilities,NetBanking,Desktop,Kolkata
T100004,13.57,437.03,57,754,0.031050499965677415,0,5,9,2023,0.0,1.0,-0.9749279121818236,-0.2225209339563146,0,Utilities,Credit Card,Desktop,Bengaluru
T100005,13.57,207.8,64,1513,0.06530317613089509,3,6,1,2024,0.7071067811865476,0.7071067811865476,-0.7818314824680299,0.6234898018587334,0,Travel,Credit Card,Mobile,Mumbai
T100006,4.79,409.11,182,1163,0.011708342499572241,8,3,2,2023,0.8660254037844387,-0.4999999999999998,0.43388373911755823,-0.900968867902419,0,Health,NetBanking,Desktop,Bengaluru
T100007,160.9,358.71,80,216,0.44855175489950105,13,6,3,2023,-0.2588190451025208,-0.9659258262890683,-0.7818314824680299,0.6234898018587334,0,Fashion,Debit Card,Mobile,Delhi
T100008,73.53,40.19,87,500,1.8295595919382932,20,0,3,2023,-0.8660254037844386,0.5000000000000001,0.0,1.0,0,Travel,Debit Card,POS,Chennai
T100009,98.5,465.58,182,1131,0.21156407062159027,12,1,6,2023,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,0,Grocery,Debit Card,Desktop,Mumbai
T100010,1.66,238.32,187,1992,0.0069654246391406514,22,3,2,2023,-0.5000000000000004,0.8660254037844384,0.43388373911755823,-0.900968867902419,0,Travel,Credit Card,Desktop,Pune
T100011,280.28,75.88,167,1427,3.6937269372693726,18,1,7,2023,-1.0,-1.8369701987210297e-16,0.7818314824680298,0.6234898018587336,0,Grocery,PayPal,Desktop,Bengaluru
T100012,142.91,218.44,120,839,0.6542299945065007,4,0,1,2023,0.8660254037844386,0.5000000000000001,0.0,1.0,0,Utilities,Debit Card,POS,Pune
T100013,19.1,305.54,143,359,0.06251227335209793,21,3,4,2023,-0.7071067811865477,0.7071067811865474,0.43388373911755823,-0.900968867902419,0,Entertainment,Credit Card,POS,Chennai
T100014,16.05,290.74,79,1178,0.055203962303088674,10,0,7,2023,0.49999999999999994,-0.8660254037844387,0.0,1.0,0,Travel,Credit Card,Desktop,Mumbai
T100015,16.21,291.65,156,1369,0.05558031887536431,12,0,8,2023,1.2246467991473532e-16,-1.0,0.0,1.0,0,Grocery,PayPal,Mobile,Chennai
T100016,29.02,135.36,36,987,0.2143912529550827,5,5,1,2024,0.9659258262890683,0.25881904510252074,-0.9749279121818236,-0.2225209339563146,0,Travel,NetBanking,POS,Pune
T100017,59.51,320.02,54,349,0.18595712767952002,12,5,7,2023,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,0,Entertainment,NetBanking,Desktop,Kolkata
T100018,45.24,454.63,145,504,0.09950949123463036,9,6,7,2023,0.7071067811865476,-0.7071067811865475,-0.7818314824680299,0.6234898018587334,0,Utilities,Debit Card,Desktop,Mumbai
T100019,27.54,200.45,100,1542,0.13739087054128213,15,2,12,2023,-0.7071067811865471,-0.7071067811865479,0.9749279121818236,-0.22252093395631434,1,Travel,Debit Card,POS,Hyderabad
