threshold,Accuracy,Precision,Recall,F1,False_Positive_Rate,False_Negative_Rate,TN,FP,FN,TP,flagged,flagged_rate,legitimate_predicted,legitimate_predicted_rate,support
0.1,0.762,0.2633779264214047,0.8160621761658031,0.39823008849557523,0.24377421140011069,0.18393782383419688,2733,881,71,315,1196,0.299,2804,0.701,4000
0.15,0.81125,0.29105322763306907,0.6658031088082902,0.40504334121355395,0.1732152739346984,0.33419689119170987,2988,626,129,257,883,0.22075,3117,0.77925,4000
0.2,0.845,0.29896907216494845,0.45077720207253885,0.359504132231405,0.11289429994465966,0.5492227979274611,3206,408,212,174,582,0.1455,3418,0.8545,4000
0.25,0.87525,0.34349030470914127,0.32124352331606215,0.3319946452476573,0.06557830658550083,0.6787564766839378,3377,237,262,124,361,0.09025,3639,0.90975,4000
0.3,0.8935,0.40476190476190477,0.22020725388601037,0.28523489932885904,0.034587714443829555,0.7797927461139896,3489,125,301,85,210,0.0525,3790,0.9475,4000
0.35,0.90075,0.46496815286624205,0.18911917098445596,0.26887661141804786,0.02324294410625346,0.810880829015544,3530,84,313,73,157,0.03925,3843,0.96075,4000
0.4,0.90425,0.512,0.16580310880829016,0.25048923679060664,0.016878804648588822,0.8341968911917098,3553,61,322,64,125,0.03125,3875,0.96875,4000
0.45,0.904,0.5096153846153846,0.13730569948186527,0.2163265306122449,0.014111787493082457,0.8626943005181347,3563,51,333,53,104,0.026,3896,0.974,4000
0.5,0.905,0.532608695652174,0.12694300518134716,0.20502092050209206,0.011898173768677366,0.8730569948186528,3571,43,337,49,92,0.023,3908,0.977,4000
0.55,0.90475,0.5333333333333333,0.10362694300518134,0.1735357917570499,0.009684560044272275,0.8963730569948186,3579,35,346,40,75,0.01875,3925,0.98125,4000
0.6,0.90475,0.5384615384615384,0.09067357512953368,0.15521064301552107,0.008301051466519093,0.9093264248704663,3584,30,351,35,65,0.01625,3935,0.98375,4000
0.65,0.9045,0.54,0.06994818652849741,0.12385321100917432,0.0063641394576646375,0.9300518134715026,3591,23,359,27,50,0.0125,3950,0.9875,4000
0.7,0.9045,0.5625,0.046632124352331605,0.0861244019138756,0.00387382401770891,0.9533678756476683,3600,14,368,18,32,0.008,3968,0.992,4000
0.75,0.905,0.6666666666666666,0.031088082901554404,0.0594059405940594,0.0016602102933038186,0.9689119170984456,3608,6,374,12,18,0.0045,3982,0.9955,4000
0.8,0.904,0.75,0.007772020725388601,0.015384615384615385,0.0002767017155506364,0.9922279792746114,3613,1,383,3,4,0.001,3996,0.999,4000
0.85,0.90325,0.0,0.0,0.0,0.0002767017155506364,1.0,3613,1,386,0,1,0.00025,3999,0.99975,4000
0.9,0.9035,0.0,0.0,0.0,0.0,1.0,3614,0,386,0,0,0.0,4000,1.0,4000
