TransactionID,TransactionDate,Amount,MerchantID,TransactionType,Location,IsFraud
1,03-04-2024,4189.27,688,refund,San Antonio,0
2,19-03-2024,2659.71,109,refund,Dallas,0
3,08-01-2024,784,394,purchase,New York,0
4,13-04-2024,3514.4,944,purchase,Philadelphia,0
5,12-07-2024,369.07,475,purchase,Phoenix,0
6,30-08-2024,3086.22,302,purchase,New York,0
7,02-01-2024,1466.9,902,refund,Philadelphia,0
8,12-05-2024,917.21,266,purchase,New York,0
9,16-11-2023,1625.73,32,refund,Chicago,0
10,24-10-2023,662.07,193,purchase,Dallas,0
11,10-08-2024,3895.94,349,refund,San Antonio,0
12,27-08-2024,944.94,359,purchase,San Jose,0
13,31-08-2024,2855.69,219,refund,New York,0
14,12-11-2023,4313.82,617,refund,San Jose,0
15,13-07-2024,4599.06,529,refund,Philadelphia,0
16,23-03-2024,1524.05,462,purchase,San Diego,0
17,04-01-2024,2721.95,912,refund,New York,0
18,05-11-2023,1357.76,522,refund,New York,0
19,29-02-2024,4726.01,456,purchase,Dallas,0
20,16-01-2024,1814.95,134,refund,Houston,0
21,19-01-2024,269.8,51,refund,San Jose,0
22,18-05-2024,512.1,196,purchase,Philadelphia,0
23,13-04-2024,2932.64,813,refund,Chicago,0
24,22-03-2024,1177.11,878,refund,Philadelphia,0
25,15-07-2024,3661.74,521,purchase,Dallas,0
26,10-10-2024,3664.95,348,purchase,San Antonio,0
27,22-09-2024,4186.42,725,purchase,New York,0
28,18-08-2024,1542.27,44,purchase,Houston,0
29,23-06-2024,4360.74,605,refund,Chicago,0
30,12-06-2024,862.62,347,purchase,San Diego,0
31,24-07-2024,1062.73,595,refund,Chicago,0
32,04-07-2024,4162.63,163,purchase,San Jose,0
33,22-07-2024,3439.54,781,refund,San Antonio,0
34,08-06-2024,3953.72,510,purchase,Phoenix,0
35,17-05-2024,516.14,469,refund,San Diego,0
36,28-07-2024,1069.35,322,refund,Phoenix,0
37,09-04-2024,1951.61,991,refund,Philadelphia,0
38,27-05-2024,2084.95,369,refund,San Jose,0
39,09-08-2024,3204.04,663,purchase,Houston,0
40,09-12-2023,58.49,284,refund,Philadelphia,0
41,19-02-2024,3472.91,788,refund,San Diego,0
42,07-08-2024,1488.04,207,purchase,Los Angeles,0
43,13-03-2024,774.15,661,refund,Dallas,0
44,26-03-2024,2346.77,31,refund,Houston,0
45,14-06-2024,616.82,4,refund,Los Angeles,0
46,21-07-2024,2052.8,980,refund,Houston,0
47,22-05-2024,4833.08,251,refund,Chicago,0
48,25-09-2024,4652.12,334,purchase,San Diego,0
49,07-09-2024,2486.55,978,refund,Phoenix,0
50,02-05-2024,3968.51,639,purchase,Philadelphia,0
51,02-11-2023,29.32,620,refund,Chicago,0
52,17-01-2024,817.4,57,refund,Chicago,0
53,15-10-2024,1801.08,456,refund,San Jose,0
54,12-12-2023,740.67,970,purchase,San Antonio,0
55,03-10-2024,2700.55,430,purchase,New York,0
56,28-02-2024,875.22,437,purchase,Houston,0
57,27-11-2023,3021.84,685,refund,San Diego,0
58,02-08-2024,3558.8,274,purchase,Philadelphia,0
59,27-12-2023,442.85,12,refund,Chicago,0
60,13-08-2024,3836.6,277,refund,Dallas,0
61,14-05-2024,4707.89,94,refund,San Antonio,0
62,26-06-2024,2069.71,400,purchase,New York,0
63,28-09-2024,1022.13,526,refund,Phoenix,0
64,04-04-2024,3916.07,576,refund,San Jose,0
65,13-01-2024,1977.93,879,refund,Dallas,0
66,05-06-2024,720.95,680,purchase,Houston,0
67,23-12-2023,1788.8,546,purchase,Philadelphia,0
68,13-02-2024,3448.81,219,refund,San Diego,0
69,13-05-2024,3443.84,555,refund,Dallas,0
70,02-01-2024,493.08,412,purchase,Los Angeles,0
71,09-03-2024,4372.58,210,refund,New York,0
72,23-03-2024,235.06,363,purchase,New York,0
73,30-04-2024,1708.71,112,refund,San Diego,0
74,29-08-2024,3374.61,109,refund,New York,0
75,12-10-2024,2298.56,469,refund,Philadelphia,0
76,24-08-2024,2988.26,823,purchase,San Jose,0
77,13-04-2024,2015.55,447,purchase,San Diego,0
78,15-01-2024,1509.45,619,refund,Philadelphia,0
79,13-02-2024,4611.36,94,refund,Los Angeles,0
80,10-01-2024,222.74,620,purchase,Los Angeles,0
81,20-09-2024,4298.25,979,refund,Philadelphia,0
82,15-09-2024,1007.32,770,refund,Phoenix,0
83,09-09-2024,2166.21,807,purchase,New York,0
84,19-10-2024,2522.34,52,purchase,Philadelphia,0
85,05-11-2023,2282.71,196,purchase,Dallas,0
86,09-05-2024,2377.94,282,purchase,Houston,0
87,25-01-2024,1081.21,926,refund,Chicago,0
88,08-06-2024,4152.22,397,refund,San Antonio,0
89,16-11-2023,3947.26,431,refund,Houston,0
90,29-03-2024,1370.1,701,refund,Philadelphia,0
91,27-12-2023,4922.69,846,refund,New York,0
92,07-01-2024,2356.42,941,purchase,New York,0
93,05-08-2024,4527.03,817,purchase,Dallas,0
94,16-09-2024,2006,87,refund,San Antonio,0
95,05-05-2024,1923.78,708,refund,New York,0
96,05-09-2024,1209.88,336,purchase,Philadelphia,0
97,31-07-2024,3558.24,188,refund,San Jose,0
98,18-10-2024,923.88,407,purchase,San Jose,0
99,27-09-2024,4836.36,656,purchase,Chicago,0
100,20-07-2024,3396.1,818,purchase,Philadelphia,0
101,15-07-2024,2522.38,68,refund,Chicago,0
102,24-08-2024,433.94,837,purchase,Chicago,0
103,16-10-2024,4975.64,37,refund,Houston,0
104,02-06-2024,772.43,78,refund,Dallas,0
105,25-06-2024,814.27,348,refund,New York,0
106,30-04-2024,3016.19,574,purchase,Los Angeles,0
107,15-11-2023,639.68,725,refund,New York,0
108,27-09-2024,3593.48,376,purchase,San Diego,0
109,06-03-2024,3593.2,934,refund,Los Angeles,0
110,22-07-2024,785.79,78,refund,Phoenix,0
111,01-10-2024,1404.77,727,refund,San Jose,0
112,02-11-2023,388.09,258,purchase,San Diego,0
113,28-12-2023,4469.05,441,purchase,Chicago,0
114,10-08-2024,3084.23,305,refund,Phoenix,0
115,22-11-2023,3268.77,364,refund,San Diego,0
116,30-04-2024,4443.7,339,purchase,New York,0
117,16-08-2024,3773.79,382,purchase,San Jose,0
118,01-02-2024,2525.84,464,purchase,San Diego,0
119,13-06-2024,2827.55,714,purchase,San Diego,0
120,05-03-2024,1019.46,244,refund,San Diego,0
121,28-03-2024,1476.27,231,refund,Los Angeles,0
122,22-09-2024,1871.58,443,purchase,Phoenix,0
123,05-09-2024,1290.73,455,refund,New York,0
124,05-06-2024,3904.09,608,purchase,Philadelphia,0
125,30-09-2024,303.11,232,refund,Chicago,0
126,21-01-2024,1445.21,955,refund,San Jose,0
127,28-10-2023,2797.59,897,purchase,Los Angeles,0
128,15-12-2023,4820.74,663,refund,San Jose,0
129,22-05-2024,4676.86,983,purchase,Chicago,0
130,19-04-2024,2131.67,349,purchase,Dallas,0
131,17-08-2024,4593.26,366,refund,San Jose,0
132,15-05-2024,2964.31,486,purchase,San Antonio,0
133,25-06-2024,4452.56,587,refund,Chicago,0
134,01-03-2024,1064.75,816,purchase,New York,0
135,29-11-2023,1950.97,648,purchase,San Antonio,0
136,16-10-2024,3033.38,207,refund,San Diego,0
137,03-01-2024,4579.91,806,purchase,Chicago,0
138,10-10-2024,4463.06,616,purchase,New York,0
139,15-03-2024,4824.21,163,refund,Phoenix,0
140,12-11-2023,1606.55,728,refund,Phoenix,0
141,30-10-2023,3050.67,814,purchase,Philadelphia,0
142,03-01-2024,3465.81,688,purchase,Dallas,0
143,30-11-2023,1629.28,621,refund,Houston,0
144,24-01-2024,3806.2,141,refund,Houston,0
145,21-03-2024,3506.76,282,refund,Phoenix,0
146,15-03-2024,1893.07,818,purchase,Houston,0
147,24-01-2024,3022.31,294,refund,San Antonio,0
148,09-09-2024,1649.57,675,purchase,San Antonio,0
149,07-12-2023,2735.8,574,purchase,San Diego,0
150,16-08-2024,602.35,381,purchase,San Antonio,0
151,08-09-2024,3214.15,565,purchase,Los Angeles,0
152,14-11-2023,3732.15,794,refund,Phoenix,0
153,20-02-2024,1705.68,174,purchase,Chicago,0
154,04-12-2023,3354.2,207,purchase,Phoenix,0
155,13-08-2024,1155.19,187,refund,Houston,0
156,19-03-2024,22.08,964,purchase,Philadelphia,0
157,23-10-2023,2545.43,118,refund,Houston,0
158,08-04-2024,3173.84,279,purchase,Philadelphia,0
159,06-07-2024,2458.68,681,refund,San Antonio,0
160,23-05-2024,331.2,796,refund,San Jose,0
161,22-09-2024,3947.38,434,refund,San Jose,0
162,12-06-2024,768.44,1,purchase,Phoenix,0
163,18-02-2024,3277.91,824,purchase,Philadelphia,0
164,16-11-2023,4385.78,560,refund,San Jose,0
165,26-11-2023,4195.53,789,refund,San Jose,0
166,30-11-2023,2596.94,471,refund,San Diego,0
167,01-04-2024,4411.72,666,refund,San Diego,0
168,19-04-2024,1796.39,584,refund,New York,0
169,18-06-2024,1282.88,255,purchase,San Diego,0
170,25-07-2024,1812.72,28,purchase,San Antonio,0
171,01-09-2024,2105.09,551,refund,San Jose,0
172,15-03-2024,180.77,826,refund,Phoenix,0
173,31-12-2023,68.85,737,purchase,Phoenix,0
174,13-05-2024,194.61,303,refund,San Diego,0
175,06-04-2024,4100.37,3,purchase,Los Angeles,0
176,30-12-2023,3246.92,505,refund,San Jose,0
177,03-08-2024,3411.73,502,refund,Houston,0
178,05-05-2024,3342.67,484,purchase,San Diego,0
179,15-11-2023,620.53,582,purchase,Phoenix,0
180,01-01-2024,1986.08,714,refund,Phoenix,0
181,04-01-2024,3427.7,232,purchase,Los Angeles,0
182,27-05-2024,4954.15,210,refund,Houston,0
183,01-12-2023,2282.14,27,purchase,Los Angeles,0
184,14-07-2024,1489.88,706,purchase,San Diego,0
185,24-02-2024,65.35,429,purchase,Dallas,0
186,20-07-2024,1919.7,828,refund,Dallas,0
187,17-04-2024,2189.78,174,refund,Chicago,0
188,31-10-2023,3666.78,361,purchase,New York,0
189,01-08-2024,4315.43,627,purchase,Philadelphia,0
190,21-07-2024,3651.59,75,refund,San Diego,0
191,07-09-2024,1703.8,916,purchase,San Jose,1
192,27-04-2024,4248.1,862,purchase,San Jose,1
193,03-09-2024,1706.64,417,refund,San Antonio,0
194,30-09-2024,2444.96,615,purchase,New York,0
195,30-09-2024,2945.76,37,purchase,Philadelphia,0
196,12-08-2024,4971.31,786,purchase,Los Angeles,0
197,02-11-2023,2805.81,345,refund,Phoenix,0
198,20-10-2024,4271.92,367,purchase,Houston,0
199,15-05-2024,3715.22,722,purchase,New York,0
200,20-05-2024,4240.22,883,purchase,Dallas,0
201,07-03-2024,582.83,409,refund,Los Angeles,0
202,27-06-2024,38.88,109,purchase,Chicago,0
203,18-11-2023,4906.35,167,refund,San Antonio,0
204,02-01-2024,372.55,743,purchase,New York,0
205,20-10-2024,1650.68,631,refund,Los Angeles,0
206,02-04-2024,300.25,201,refund,Dallas,0
207,26-04-2024,967.46,240,purchase,Dallas,0
208,18-04-2024,2051.75,921,purchase,Chicago,0
